country,year,demo,gdppc,pe,gini,gi,mr
Botswana,1961,,61.31953877,,,,164.1
Botswana,1962,,64.81014553,,,,158.9
Botswana,1963,,67.50089133,,,,153.7
Botswana,1964,,71.80683331,,,,148.8
Botswana,1965,,76.86002926,,,,144
Botswana,1966,6,83.96382153,,,,139.5
Botswana,1967,6,92.89500193,,,,134.9
Botswana,1968,6,101.8063206,,,,130.3
Botswana,1969,6,115.2405136,,,,125.7
Botswana,1970,6,138.8750098,,,,121
Botswana,1971,6,177.3575384,,,,116.2
Botswana,1972,6,223.3893749,,,,111.2
Botswana,1973,6,319.0426733,,,,106.2
Botswana,1974,6,386.1693195,,,,101.2
Botswana,1975,6,432.0634861,116293,,,96.1
Botswana,1976,6,435.697999,125588,,,91.1
Botswana,1977,6,508.7052495,137290,,,86.2
Botswana,1978,6,639.4499923,145459,,,81.6
Botswana,1979,6,854.3291052,156664,,,77.1
Botswana,1980,6,1064.796443,171914,,,72.9
Botswana,1981,6,1039.435165,178107,,,69.1
Botswana,1982,6,948.5812214,187065,,,65.6
Botswana,1983,6,1058.827025,198328,,,62.3
Botswana,1984,6,1083.956064,209772,,,59.5
Botswana,1985,6,942.3822454,223608,,0.755583127,57.1
Botswana,1986,6,1139.91857,235941,,0.749376559,55.1
Botswana,1987,7,1558.813285,248823,,0.751898734,53.7
Botswana,1988,7,2034.121209,261352,,0.759689922,53
Botswana,1989,7,2301.68118,275437,,0.75619296,53.1
Botswana,1990,7,2747.208438,283516,,0.746405229,54.2
Botswana,1991,7,2776.423062,298812,,0.73525557,56.4
Botswana,1992,7,2839.196963,301482,,0.722733246,59.1
Botswana,1993,7,2772.732774,305479,,0.708278581,62.4
Botswana,1994,7,2767.35374,310128,,0.710843373,66.1
Botswana,1995,7,3001.102631,313693,,0.698391421,69.9
Botswana,1996,7,3007.613623,318629,,0.695652174,73.5
Botswana,1997,8,3050.233587,322268,,0.685286104,76.5
Botswana,1998,8,2854.673402,,,0.674418605,79
Botswana,1999,8,3210.23188,322475,,0.693389592,82
Botswana,2000,8,3333.17955,324283,,0.714492754,82.9
Botswana,2001,8,3114.616594,329451,,0.710144928,81.6
Botswana,2002,8,3044.127353,330835,,0.712609971,79.8
Botswana,2003,8,4149.041377,330376,,0.712389381,78.1
Botswana,2004,8,4879.459462,328692,,0.666666667,75.8
Botswana,2005,8,5327.853518,329191,,0.662356322,69
Botswana,2006,8,5342.140336,330417,,0.659482759,63.4
Botswana,2007,8,5666.637847,327617,,,62.6
Botswana,2008,8,5561.89824,327233,,,61.7
Botswana,2009,8,5115.119247,330775,,,57.3
Botswana,2010,8,6244.002574,,,,53.5
Botswana,2011,8,7504.850907,,,,51.8
Botswana,2012,8,6885.829681,335830,,,49.5
Botswana,2013,8,6806.677467,340065,,,46.6
Botswana,2014,8,7153.444325,,,,44.8
Botswana,2015,8,6360.644776,,,,43.6
