country,year,demo,gdppc,pe,gini,gi,mr
South Africa,1961,4,423.263749,,,,
South Africa,1962,4,431.3454751,,,,
South Africa,1963,4,447.9928194,,,,
South Africa,1964,4,484.5163244,,,,
South Africa,1965,4,519.3995082,,55,,
South Africa,1966,4,554.7791283,,,,
South Africa,1967,4,591.8003045,,,,
South Africa,1968,4,646.2628946,,,,
South Africa,1969,4,684.3103103,,,,
South Africa,1970,4,754.8990874,,,,
South Africa,1971,4,810.7503056,,51,,
South Africa,1972,4,874.4701882,,,,
South Africa,1973,4,897.3870346,,,,
South Africa,1974,4,1202.397493,,,,133.4
South Africa,1975,4,1476.973213,4635315,47,,126.6
South Africa,1976,4,1494.17417,,,,120
South Africa,1977,4,1403.896196,4324747,,,113.3
South Africa,1978,4,1526.746615,4141797,,,106.4
South Africa,1979,4,1719.826936,4268090,,,99.6
South Africa,1980,4,2076.339777,,49,,93.1
South Africa,1981,4,2920.90924,4480493,,,87.1
South Africa,1982,4,3073.263004,4426022,,,81.9
South Africa,1983,4,2764.184855,,,,77.4
South Africa,1984,4,2893.793637,,,,73.8
South Africa,1985,4,2791.9498,,47,0.716836735,70.7
South Africa,1986,4,2142.114701,4737367,,0.709390863,67.9
South Africa,1987,4,2475.10247,4920543,45,0.703422053,65.5
South Africa,1988,4,3158.667713,5055396,,0.697969543,63.3
South Africa,1989,4,3398.619067,6757600,,0.692893401,61.4
South Africa,1990,5,3621.49758,6951777,63,0.686472819,59.9
South Africa,1991,5,3182.23967,7210021,,0.672932331,58.8
South Africa,1992,6,3345.827626,,,0.660447761,58.4
South Africa,1993,8,3557.128685,,59.3,0.650124069,58.9
South Africa,1994,9,3584.099342,7971770,,0.642236025,60.1
South Africa,1995,9,3650.486114,8159430,59,0.634328358,62.1
South Africa,1996,9,3973.932383,,,0.629213483,64.6
South Africa,1997,9,3690.178479,8091295,54.5,0.622971286,67.4
South Africa,1998,9,3728.333992,,,0.614713217,70.2
South Africa,1999,9,3288.203765,7935221,,0.60723192,72.8
South Africa,2000,9,3183.149769,7444802,57.8,0.600499376,75.3
South Africa,2001,9,3099.131614,7413415,,0.59824781,77.1
South Africa,2002,9,2705.780204,7465728,,0.595984944,78.1
South Africa,2003,9,2540.971222,7470476,,0.591708543,78.1
South Africa,2004,9,3807.115746,7444142,,0.58490566,76.8
South Africa,2005,9,4901.121316,7314449,,0.58186398,75.2
South Africa,2006,9,5453.192814,7256518,67.4,0.578282828,73.1
South Africa,2007,9,5668.386771,7312258,,,71.3
South Africa,2008,9,6161.217951,7231660,59.4,,68.4
South Africa,2009,9,5817.27839,7128500,63.1,,63.5
South Africa,2010,9,5916.254357,7024368,59.4,,53.8
South Africa,2011,9,7392.868752,6957432,69.4,,49.8
South Africa,2012,9,8081.417175,7004482,,,47.7
South Africa,2013,9,7590.028438,7063849,,,43.4
South Africa,2014,9,6881.794742,7195183,,,41.4
South Africa,2015,9,6472.101027,,,,40.5
Botswana,1961,,61.31953877,,,,164.1
Botswana,1962,,64.81014553,,,,158.9
Botswana,1963,,67.50089133,,,,153.7
Botswana,1964,,71.80683331,,,,148.8
Botswana,1965,,76.86002926,,,,144
Botswana,1966,6,83.96382153,,,,139.5
Botswana,1967,6,92.89500193,,,,134.9
Botswana,1968,6,101.8063206,,,,130.3
Botswana,1969,6,115.2405136,,,,125.7
Botswana,1970,6,138.8750098,,,,121
Botswana,1971,6,177.3575384,,,,116.2
Botswana,1972,6,223.3893749,,,,111.2
Botswana,1973,6,319.0426733,,,,106.2
Botswana,1974,6,386.1693195,,,,101.2
Botswana,1975,6,432.0634861,116293,,,96.1
Botswana,1976,6,435.697999,125588,,,91.1
Botswana,1977,6,508.7052495,137290,,,86.2
Botswana,1978,6,639.4499923,145459,,,81.6
Botswana,1979,6,854.3291052,156664,,,77.1
Botswana,1980,6,1064.796443,171914,,,72.9
Botswana,1981,6,1039.435165,178107,,,69.1
Botswana,1982,6,948.5812214,187065,,,65.6
Botswana,1983,6,1058.827025,198328,,,62.3
Botswana,1984,6,1083.956064,209772,,,59.5
Botswana,1985,6,942.3822454,223608,,0.755583127,57.1
Botswana,1986,6,1139.91857,235941,,0.749376559,55.1
Botswana,1987,7,1558.813285,248823,,0.751898734,53.7
Botswana,1988,7,2034.121209,261352,,0.759689922,53
Botswana,1989,7,2301.68118,275437,,0.75619296,53.1
Botswana,1990,7,2747.208438,283516,,0.746405229,54.2
Botswana,1991,7,2776.423062,298812,,0.73525557,56.4
Botswana,1992,7,2839.196963,301482,,0.722733246,59.1
Botswana,1993,7,2772.732774,305479,,0.708278581,62.4
